"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lsm2",1.13284554159536e-11,2.00182095766537,0.769,0.291,2.18072766757107e-07,"3","Lsm2"
"Cdc20",1.74392535842502e-11,3.79098063476381,0.41,0.045,3.35705631496817e-07,"3","Cdc20"
"Ccnb1",1.92513539765917e-11,4.5672183695203,0.359,0.028,3.70588564049389e-07,"3","Ccnb1"
"Mcm6",3.03749871947239e-11,2.08757534309807,0.718,0.218,5.84718503498435e-07,"3","Mcm6"
"Ube2c",4.31722380109075e-11,3.81711160260522,0.436,0.061,8.31065581709969e-07,"3","Ube2c"
"Hirip3",4.70444640781137e-11,4.41908149861648,0.333,0.022,9.0560593350369e-07,"3","Hirip3"
"Gins2",6.96508892137891e-11,2.173863188099,0.641,0.145,1.34077961736544e-06,"3","Gins2"
"Mad2l1",1.05741990182185e-10,3.53507282967582,0.385,0.039,2.03553331100707e-06,"3","Mad2l1"
"Mis18bp1",1.13154448767316e-10,5.00093156492167,0.256,0.006,2.17822313877084e-06,"3","Mis18bp1"
"Dlgap5",1.16399605459307e-10,4.42074430312718,0.282,0.011,2.24069240509166e-06,"3","Dlgap5"
"Rad54l",1.18801222884772e-10,4.71096778769061,0.256,0.006,2.28692354053185e-06,"3","Rad54l"
"Lig1",1.26129584115811e-10,2.48696111861679,0.564,0.117,2.42799449422937e-06,"3","Lig1"
"Dut",1.61125284045438e-10,2.74907864105446,0.538,0.112,3.10166171787469e-06,"3","Dut"
"Cdkn2c",1.82621007690342e-10,4.07154740315788,0.359,0.034,3.51545439803908e-06,"3","Cdkn2c"
"Hells",4.91301744979743e-10,3.47596675403565,0.333,0.028,9.45755859086004e-06,"3","Hells"
"Tacc3",5.39394721688853e-10,2.83357809539281,0.487,0.089,1.03833483925104e-05,"3","Tacc3"
"Cenpq",7.44992769979566e-10,3.77942086354648,0.308,0.022,1.43411108221066e-05,"3","Cenpq"
"Rfc4",8.70871290137455e-10,2.37624941083453,0.538,0.112,1.6764272335146e-05,"3","Rfc4"
"Ncapd2",9.05454995079597e-10,3.41413539842926,0.308,0.022,1.74300086552822e-05,"3","Ncapd2"
"Fbxo5",1.02528586102116e-09,3.99447765717241,0.282,0.017,1.97367528246573e-05,"3","Fbxo5"
"Kif2c",1.06847650514289e-09,4.2713350892947,0.282,0.017,2.05681727240006e-05,"3","Kif2c"
"Rad51ap1",1.11192134875188e-09,5.04579618890211,0.256,0.011,2.14044859634737e-05,"3","Rad51ap1"
"Ccnb2",1.13046538470811e-09,2.61912289349977,0.41,0.056,2.17614586556311e-05,"3","Ccnb2"
"Cit",1.26965982629855e-09,4.34734410370064,0.256,0.011,2.4440951656247e-05,"3","Cit"
"Cdca5",1.26965982629855e-09,4.21052262142914,0.256,0.011,2.4440951656247e-05,"3","Cdca5"
"C330027C09Rik",1.32693361635332e-09,4.13256599884269,0.256,0.011,2.55434721148015e-05,"3","C330027C09Rik"
"Haus5",1.36740709134487e-09,3.79287255421306,0.282,0.017,2.63225865083887e-05,"3","Haus5"
"Cenpe",2.25084759631967e-09,3.45118108736117,0.333,0.034,4.33288162291537e-05,"3","Cenpe"
"Ezh2",4.3250844946908e-09,2.20039372875431,0.538,0.123,8.32578765227979e-05,"3","Ezh2"
"Anp32b",5.72133455424189e-09,1.00433583503153,0.949,0.665,0.000110135690169156,"3","Anp32b"
"Tipin",7.29214691983401e-09,2.01721734915662,0.615,0.173,0.000140373828206805,"3","Tipin"
"Ube2t",8.38582612940746e-09,2.69770861984208,0.308,0.028,0.000161427152991094,"3","Ube2t"
"Uhrf1",1.24774894325035e-08,3.35416434963857,0.256,0.017,0.000240191671575693,"3","Uhrf1"
"Hmgb3",1.31327764546105e-08,2.90965688615876,0.41,0.067,0.000252805946751252,"3","Hmgb3"
"Pmf1",1.49909921380517e-08,1.87690757743698,0.718,0.302,0.000288576598657496,"3","Pmf1"
"Rrm1",1.58071860526546e-08,2.43283931450793,0.513,0.14,0.000304288331513601,"3","Rrm1"
"Pola1",1.85714220849701e-08,2.27661604043805,0.256,0.017,0.000357499875135674,"3","Pola1"
"Sae1",2.4802309298551e-08,1.56458208708262,0.769,0.302,0.000477444453997107,"3","Sae1"
"H2afx",2.52249460075014e-08,2.22097726134144,0.615,0.257,0.000485580210644402,"3","H2afx"
"Incenp",2.69248285764559e-08,2.04741094987973,0.641,0.218,0.000518302950096776,"3","Incenp"
"Mcm3",3.67861362592394e-08,1.95004556346107,0.59,0.184,0.000708133122990359,"3","Mcm3"
"Fen1",4.68866330983526e-08,2.09708885715828,0.538,0.156,0.000902567687143288,"3","Fen1"
"Yars2",6.08194535062481e-08,2.66360519120026,0.359,0.056,0.00117077447999528,"3","Yars2"
"Aurka",6.79003002741208e-08,3.66532256364755,0.256,0.022,0.00130708078027682,"3","Aurka"
"Nrm",8.57113028066245e-08,1.52190840885253,0.718,0.257,0.00164994257902752,"3","Nrm"
"Ncapd3",1.05190896113015e-07,3.2046036209767,0.256,0.022,0.00202492475017553,"3","Ncapd3"
