"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rngtt",204.19929580517,-0.0262460931051326,0.146766683472969,-0.178828685666706,0.858072220437575,0.999887176930905
"Cnr1",24.507182950356,-0.936631065242162,0.470518489578572,-1.99063604510223,0.046520914496149,0.647390769111367
"Akirin2",358.411399850825,0.0449234808017231,0.106657361969815,0.421194373947077,0.673613152271532,0.999887176930905
"Orc3",494.535424961931,0.0298501624707394,0.093108079089894,0.32059691019852,0.748515879420014,0.999887176930905
"Rars2",200.746808822224,-0.0836132383901588,0.136966813275627,-0.610463486668839,0.541554823797743,0.999887176930905
"Slc35a1",358.030401519481,0.0479223842971877,0.159542875944281,0.300373075347621,0.763892598769502,0.999887176930905
"Cfap206",683.340660165033,0.0744274776747805,0.132975919567532,0.559706433441751,0.575679693432222,0.999887176930905
"Smim8",131.076892849135,0.257407847684353,0.228582713377233,1.12610373672286,0.260121612558954,0.999887176930905
"Zfp292",712.31240590718,0.0110712885677602,0.11949820394614,0.0926481587350907,0.926183083114003,0.999887176930905
"Mob3b",86.1826468739752,-0.0641053277104935,0.304317321835989,-0.210652904421402,0.833158126709484,0.999887176930905
"C9orf72",91.2855745064393,0.075208651408737,0.196010430516841,0.383697190044563,0.701202895524544,0.999887176930905
"Lingo2",11.8178896376547,-0.140151500214632,0.581887912862416,-0.240856524283518,0.80966631884229,0.999887176930905
"Aco1",911.210104096266,0.000912067209996191,0.0785115848603066,0.0116169761649699,0.990731202552315,0.999887176930905
"Rigi",371.342741441711,0.783536471676934,0.188805988133208,4.14995562070905,3.32539742275301e-05,0.00417267515265108
"Topors",558.291363204671,-0.0454318681353005,0.0967060588112504,-0.469793399645971,0.638502630488032,0.999887176930905
"Smim27",42.6389557625323,-0.26946790652347,0.289805926270682,-0.929821932874428,0.352463288354055,0.999887176930905
"Ndufb6",352.569412146247,0.0318853444744041,0.110011218773026,0.289837207786868,0.771940781328537,0.999887176930905
"4933428C19Rik",32.3198785827386,-0.106513262608012,0.342769432862967,-0.310743177179963,0.75599587040398,0.999887176930905
"Aptx",230.036317327469,-0.296095447193404,0.139113311317979,-2.12844798522985,0.0332999582213602,0.542801418748175
"Gm6297",34.020462320917,-0.199389327510767,0.318550554513378,-0.625926794619324,0.531362958681393,0.999887176930905
"Dnaja1",1888.02170069297,0.104447767017976,0.0858410077430688,1.21675839746196,0.223696153003013,0.999887176930905
"Smu1",531.042816838097,-0.0347658872261803,0.0920956157103473,-0.377497744686604,0.705803740106966,0.999887176930905
"B4galt1",1188.55300001895,0.246672068202542,0.094133154251913,2.62045896754308,0.00878114967416071,0.237967562494678
"Bag1",546.561371171059,0.150871795454558,0.0947368627076783,1.59253527235845,0.111264484208903,0.901465696260084
"Chmp5",801.322876071834,-0.00581974244690906,0.0879365393761712,-0.0661811630090833,0.947233593632419,0.999887176930905
"Nfx1",533.445507425045,-0.0413503643174768,0.0943682944327565,-0.438180689457534,0.661255305749202,0.999887176930905
"Nol6",331.647607599272,0.00416936572250699,0.11333086829002,0.0367893212627414,0.97065298868374,0.999887176930905
"Ube2r2",811.904153932294,-0.0540392741472362,0.085033250239256,-0.635507569041371,0.525097431771541,0.999887176930905
"Ubap2",727.678801454846,0.0653866312965194,0.0992550661283566,0.658773741704645,0.510041071474075,0.999887176930905
"Dcaf12",709.498638854406,0.00122859970197519,0.0846675692689437,0.014510865406713,0.988422410835779,0.999887176930905
"Gm46891",25.3913283683685,0.173027016274221,0.37565788763829,0.460597319976479,0.645087534742879,0.999887176930905
"Ubap1",396.246608888347,0.0774986620696038,0.107609787675727,0.720182278429354,0.471412773634847,0.999887176930905
"Kif24",206.782690943759,-0.00759708662010881,0.155845423024771,-0.0487475761088041,0.961120460666878,0.999887176930905
"Nudt2",100.930302682832,0.143916513567669,0.195195887981274,0.737292752711447,0.460944338512803,0.999887176930905
"Myorg",162.886482967901,-0.0316409438674213,0.214876891810225,-0.147251496430644,0.882933515288617,0.999887176930905
"1110017D15Rik",684.950679769748,0.197084053615466,0.127620951005096,1.54429231300427,0.122517533956706,0.922984416293116
"Fam219a",144.736150213645,0.0429028617036239,0.17504543099326,0.245095581530922,0.806382424035984,0.999887176930905
"Dnai1",144.338202430341,0.232275069709353,0.212762062063702,1.09171281504035,0.274959350654355,0.999887176930905
